year,CF_dyn,CF_to_TC,DEBT_to_GS,GS_dyn,NP_dyn,NP_to_GS,NP_to_TC,STL_to_GS
2005,,,,,,,,
2006,,0.0031282691841412746,-0.0020712631179303775,,,0.005524201811340158,0.005905611379174058,-0.0009783765315706794
2007,0.031590862151060106,0.0021373584030995596,-0.0021890203366639605,0.06775658732570969,5.77080016914084,0.003876666476712358,0.004283771151945892,0.0013066506431837488
2008,-0.15723291297034198,-0.004194239937617486,0.007568247257861205,-0.060427003945198454,-0.6138570949530858,-0.0123418537546648,-0.013188499952293323,0.004316680757117497
2009,-0.05502726116348246,0.0036452639841324797,-0.004656956072064344,-0.11289145068920896,0.9364700753459765,0.007390987043493818,0.008086175372334036,-0.003262787576329501
2010,0.15798286296804967,-1.3427342172286916e-05,0.017051616039098327,0.1409041850270636,-0.27228593410876867,0.003572932297704938,0.003735699830498526,0.007906469468441535
2011,-0.16279519294507086,-0.003978684996008619,0.0009799770565234733,-0.06744456016377305,-0.5041609483044363,-0.005064251769919884,-0.0052895787435159256,-0.005465978002057004
2012,-0.07640421493805147,-0.008729025717015268,0.0069383686945489464,-0.044845869413738096,-0.18333128707386587,-0.0060239983205124005,-0.0067887802321130765,0.0011277519140880654
2013,0.1769082543759649,0.008159179334326527,0.010646483667067053,-0.008647272994418528,-0.6908650007484991,0.006698868780223983,0.0073522631251647895,-0.0029237488576356885
2014,0.004117308099652564,0.0033669629409661672,0.009331748047904542,0.041239365494223454,1.0902865413739424,0.0006125634645581385,0.0008322642429678118,-6.821314525115585e-05
2015,-0.09625532501586959,-0.009409991048302632,0.009953475551285451,-0.017258876352125578,0.0802832346033018,-0.0074637951833831755,-0.008227300349837346,0.0013116260713484096
2016,0.15272737565003974,0.010293476154338954,0.01900906563109417,-0.005026065770632623,-0.08112650958091586,0.009349248546419806,0.009829692386077234,0.0044565377718652766
2017,-0.14442795801150865,-0.002059843915391324,-0.008452703547415286,0.015607827754895269,-0.08489068562646196,-0.0016921257167185205,-0.0017829850858940358,0.0087859146692775
2018,-0.005009708513766649,-0.00550008176599609,-0.0070548400540656475,-0.01711922536535016,0.11209060520151837,-0.0025694015007382623,-0.003021047821568361,0.0015574179733374716
2019,0.07448050029249981,0.002851823717996499,0.006476062477954125,0.04064075163829022,-0.20104771245142672,-0.0005733250758384288,-0.0002879936736158162,-0.00022632201630137794
2020,0.017220618499181703,0.004682163735288625,0.00798247720285844,-0.07986938959434466,0.13172180469219824,0.0024365929793290463,0.0029171298537340185,0.0033870764257357966
2021,0.1661351678500184,0.005681279526755928,-0.016140795055620993,0.16609471422631444,-0.745032365565783,0.011665570778669254,0.012360338253246526,0.0018283478174385415
2022,-0.08109662389999259,-0.0016061731797803458,-0.030022004067685015,0.0461031858229671,0.804778861387818,-0.002840845682930436,-0.0030691141464371796,-0.014187407759232995
2023,-0.16403172726862097,-0.004911370735924139,-0.013064437160828168,-0.11846349154831123,-0.25338703790975386,-0.007161952959719928,-0.007779519206733587,-0.00804682179597424
2024,-0.09659098619478529,-0.0030078224661517633,0.013522535992770479,-0.10244609690360146,-0.15308060493033993,-0.002855268649155064,-0.0033859367475494104,0.007407215571303694
2025,0.23956812138213918,0.007166060881286504,0.028043132196004683,0.12136138512073988,0.13258686052435653,0.010811436224177712,0.012012206935905316,0.009109331373994833
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,-0.006602971428571414,-0.0004906117857142872,-0.00016297642857143746,0.018772302142857134,-0.008168955714285692,2.663328208336868e-05,3.311699554848363e-05,0.0001539464285714165
