year,CF_dyn,CF_to_TC,DEBT_to_GS,GS_dyn,NP_dyn,NP_to_GS,NP_to_TC,STL_to_GS
2005,,0.07113515845631314,0.2736889603115886,,,0.02989942679616026,0.03154449263371813,0.20505825951293455
2006,0.2092704328528844,0.07426342764045442,0.27161769719365825,0.11495509554478489,-5.4020388227309,0.03542362860750042,0.037450104012892185,0.20407988298136387
2007,0.24086129500394451,0.07640078604355398,0.2694286768569943,0.18271168287049458,0.36876134640993957,0.039300295084212775,0.04173387516483808,0.20538653362454762
2008,0.08362838203360252,0.07220654610593649,0.2769969241148555,0.12228467892529613,-0.24509574854314625,0.026958441329547975,0.028545375212544754,0.20970321438166512
2009,0.02860112087012007,0.07585181009006897,0.27233996804279115,0.009393228236087165,0.6913743268028303,0.03434942837304179,0.03663155058487879,0.20644042680533561
2010,0.18658398383816974,0.07583838274789668,0.2893915840818895,0.15029741326315074,0.4190883926940616,0.03792236067074673,0.040367250415377316,0.21434689627377715
2011,0.023788790893098884,0.07185969775188807,0.29037156113841295,0.08285285309937769,-0.08507255561037468,0.03285810890082685,0.03507767167186139,0.20888091827172015
2012,-0.05261542404495259,0.0631306720348728,0.2973099298329619,0.038006983685639595,-0.26840384268424056,0.026834110580314447,0.028288891439748314,0.2100086701858082
2013,0.12429283033101234,0.07128985136919933,0.30795641350002895,0.029359710691221067,-0.9592688434327397,0.03353297936053843,0.035641154564913104,0.20708492132817252
2014,0.1284101384306649,0.07465681431016549,0.3172881615479335,0.07059907618544452,0.1310176979412027,0.03414554282509657,0.036473418807880915,0.20701670818292137
2015,0.032154813414795314,0.06524682326186286,0.32724163709921894,0.05334019983331894,0.2113009325445045,0.026681747641713393,0.02824611845804357,0.20832833425426978
2016,0.18488218906483506,0.07554029941620181,0.3462507027303131,0.048314134062686316,0.13017442296358864,0.0360309961881332,0.0380758108441208,0.21278487202613505
2017,0.04045423105332639,0.07348045550081049,0.3377979991828978,0.06392196181758159,0.04528373733712668,0.03433887047141468,0.03629282575822677,0.22157078669541255
2018,0.03544452253955974,0.0679803737348144,0.3307431591288322,0.046802736452231423,0.15737434253864505,0.031769468970676416,0.033271777936658406,0.22312820466875002
2019,0.10992502283205956,0.0708321974528109,0.3372192216067863,0.08744348809052165,-0.043673369912781666,0.031196143894837988,0.03298378426304259,0.22290188265244865
2020,0.12714564133124126,0.07551436118809952,0.34520169880964474,0.007574098496176987,0.08804843477941658,0.033632736874167034,0.03590091411677661,0.22628895907818444
2021,0.29328080918125965,0.08119564071485545,0.32906090375402375,0.17366881272249143,-0.6569839307863664,0.04529830765283629,0.048261252370023135,0.22811730689562298
2022,0.21218418528126706,0.0795894675350751,0.29903889968633873,0.21977199854545854,0.14779493060145152,0.04245746196990585,0.045192138223585955,0.21392989913639
2023,0.0481524580126461,0.07467809679915097,0.28597446252551056,0.1013085069971473,-0.10559210730830233,0.035295509010185924,0.03741261901685237,0.20588307734041575
2024,-0.048438528182139194,0.0716702743329992,0.29949699851828104,-0.0011375899064541598,-0.25867271223864224,0.03244024036103086,0.03402668226930296,0.21329029291171944
2025,0.19112959319999998,0.07883633521428571,0.3275401307142857,0.12022379521428572,-0.1260858517142857,0.04325167658520857,0.046038889205208273,0.22239962428571428
2026,0.19112959319999998,0.07883633521428571,0.3275401307142857,0.12022379521428572,-0.1260858517142857,0.04325167658520857,0.046038889205208273,0.22239962428571428
2027,0.18452662177142856,0.07834572342857142,0.3273771542857143,0.13899609735714286,-0.1342548074285714,0.04327830986729194,0.04607200620075676,0.2225535707142857
