year,pkd,CF_dyn,CF_to_TC,DEBT_to_GS,GS_dyn,NP_dyn,NP_to_GS,NP_to_TC,STL_to_GS,growth,profit,cash,debt_burden,g_med,p_med,growth_high,profit_high,group
2006,52.2,0.1341252450697727,0.1358386041439476,0.4747957453368275,0.1083709623987894,0.2425853056909612,0.056969834866239,0.0615267175572519,0.1893864988963483,0.1616938377198411,0.05924827621174545,0.13498192460686015,0.33209112211658787,0.1616938377198411,0.03422680984189995,True,True,Star
2006,62.0,-0.0304705281248548,0.1395679431698432,0.3233459229165827,-0.0093484737963295,-0.0894600550078008,0.0691279240864004,0.0757062313111483,0.2779428303483443,-0.04309301897632836,0.07241707769877434,0.054548707522494196,0.3006443766324635,0.1616938377198411,0.03422680984189995,False,True,Cash cow
2007,10.1,0.1513750709753869,0.049629696039228,0.2023692229485631,0.1224949714372973,0.2270031526048008,0.0204113635260235,0.0209152103825042,0.1464171785798941,0.16695773167249503,0.02066328695426385,0.10050238350730745,0.1743932007642286,0.21166219273565953,0.0360012319897038,False,False,Dog
2007,22.2,0.2435513752315803,0.1180358781184193,0.3240608942708817,0.1875020397414788,0.3261631410947998,0.0563033821516051,0.0602742514795911,0.2443112213792062,0.25240551868928635,0.058288816815598096,0.1807936266749998,0.2841860578250439,0.21166219273565953,0.0360012319897038,True,True,Star
2007,29.3,0.1341894725770296,0.0957983636550404,0.3108091624947644,0.1740061510705666,0.0360834150133504,0.0405543027280946,0.0425530201864,0.2470901197025705,0.11475967955364885,0.0415536614572473,0.11499391811603499,0.2789496410986675,0.21166219273565953,0.0360012319897038,False,True,Cash cow
2007,35.1,-0.0235318590047349,0.11965006884849,0.2892894198131552,0.0288385015553407,-0.0525289180298557,0.0502099429714866,0.0532996011736761,0.1662207164118164,-0.0157407584930833,0.05175477207258135,0.04805910492187755,0.2277550681124858,0.21166219273565953,0.0360012319897038,False,True,Cash cow
2007,41.2,0.7547824382595061,0.0868349626507529,0.3320104221796718,0.2762410305981224,0.9570844088570474,0.0602111555643033,0.0648601275158463,0.2662022701681223,0.6627026259048919,0.0625356415400748,0.42080870045512947,0.2991063461738971,0.21166219273565953,0.0360012319897038,True,True,Star
2007,45.1,0.6245749706616917,0.040663884163722,0.2002450865423067,0.3460304505774496,1.2228374142841232,0.025500097556417,0.0263071179779491,0.176280521515251,0.7311476118410881,0.02590360776718305,0.33261942741270684,0.18826280402877885,0.21166219273565953,0.0360012319897038,True,False,Question mark
2007,46.3,0.2735623121273345,0.0329139011194806,0.1663487175444122,0.1013383045950526,0.486291432954157,0.0200011365836558,0.0204838869691674,0.137673980304771,0.287064016558848,0.0202425117764116,0.15323810662340756,0.1520113489245916,0.21166219273565953,0.0360012319897038,True,False,Question mark
2007,46.4,0.2344651036425069,0.0467701861012792,0.2596271881307915,0.1097635299191632,0.2204102433431012,0.0294708042722303,0.0305521800058628,0.2382035252864809,0.18821295896825707,0.030011492139046553,0.14061764487189304,0.24891535670863618,0.21166219273565953,0.0360012319897038,False,False,Dog
2007,46.7,0.1602117177452902,0.0407045966619365,0.1994965449622905,0.1217489624482046,0.1321193494386323,0.0251884820116257,0.0259407289768449,0.1623377619488508,0.13802667654404235,0.0255646054942353,0.10045815720361334,0.18091715345557063,0.21166219273565953,0.0360012319897038,False,False,Dog
2007,46.9,0.2178039813650709,0.0551899536568343,0.2257145293117494,0.1535301368579742,0.2636524599839334,0.0367129389197051,0.038411164552582,0.2003630418736555,0.21166219273565953,0.03756205173614355,0.1364969675109526,0.21303878559270245,0.21166219273565953,0.0360012319897038,True,True,Star
2007,47.1,0.1525330116064538,0.037623969758527,0.2089591539437826,0.1477585120587679,0.5024247898283889,0.0135571721656291,0.0138258936346568,0.1716065252777902,0.2675721044978702,0.013691532900142949,0.0950784906824904,0.1902828396107864,0.21166219273565953,0.0360012319897038,True,False,Question mark
2007,47.4,0.0590559367851943,0.0484025403493099,0.2660839488347547,0.3640100216262705,0.1181089346226962,0.0309056723605783,0.032141643719098,0.2608591356555233,0.180391631011387,0.03152365803983815,0.053729238567252105,0.263471542245139,0.21166219273565953,0.0360012319897038,False,False,Dog
2007,49.4,0.2478661120857892,0.0958725273859844,0.3129299752964259,0.2288667836710072,0.3177470391465511,0.0352111689336975,0.0367912950457101,0.2219997574575756,0.2648266449677825,0.0360012319897038,0.17186931973588682,0.26746486637700073,0.21166219273565953,0.0360012319897038,True,True,Star
2007,52.2,0.3136540252400372,0.147024187461814,0.4068082094369857,0.2325396510185302,0.5649296939619521,0.0723334021494664,0.0793310411749907,0.1693515881780437,0.3703744567401732,0.07583222166222855,0.2303391063509256,0.2880798988075147,0.21166219273565953,0.0360012319897038,True,True,Star
2007,62.0,0.068825755761031,0.1308970746824911,0.3366776771443793,0.1460061958821927,0.2090936390454152,0.0729334043686734,0.0803209646776917,0.2718806606286627,0.1413085302295463,0.07662718452318255,0.09986141522176105,0.30427916888652096,0.21166219273565953,0.0360012319897038,False,True,Cash cow
