pkd_code,target,n_train,n_test,mae,rmse,r2,n_features_used,missing_features
10.1,10.1_CF,5,2,1189.991083984375,1549.450487825671,-18.76854771339288,6,
10.1,10.1_EN,5,2,8.554473876953125,8.997423862941748,-11.952581405639648,6,
10.1,10.1_GS,5,2,26600.44921875,29395.605564565885,-4148.968973469471,6,
10.1,10.1_GS_I,5,2,26707.582343749993,29439.04130403647,-3968.6179037874986,6,
10.1,10.1_LTC,5,2,550.0709423828125,756.0337374783285,-0.6844598754563702,6,
10.1,10.1_LTL,5,2,679.07025390625,793.9586361258489,-1.271843551345642,6,
10.1,10.1_NP,5,2,844.4021972656249,1138.8510614496877,-5.985232623451081,6,
10.1,10.1_PEN,5,2,32.3818359375,32.52521557864759,-85.35833740234375,6,
10.1,10.1_PNPM,5,2,26801.80234375,29144.256230287625,-413547.2149573758,6,
10.1,10.1_STC,5,2,345.22078124999985,356.5245186699209,-3.1901744153246074,6,
10.1,10.1_STL,5,2,2629.9659765625,2963.354775285835,-5340.862288612225,6,
10.1,10.1_TC,5,2,25824.880312499998,28181.218731790617,-18821.45971861562,6,
10.1,10.1_EN_upadlosci,5,2,2.5,3.440355017870063,-0.8937668238373953,6,
10.1,10.1_Średni CF na firmę,5,2,2.2340685472900432,2.779210906496338,-23.296136685680146,6,
10.1,10.1_Marża CF (CF Margin),5,2,0.0029637839365343963,0.0040216314886912415,-1.1887150340911194,6,
10.1,10.1_Udział działalności fin. w NP,5,2,0.04769802306484158,0.050441412078199854,-4.335603952887056,6,
10.1,10.1_Relacja CF do NP,5,2,0.12996783130698175,0.13837465562334975,-0.7413803587787031,6,
10.1,10.1_GS_dyn,5,2,0.16765804675726315,0.23279869549271198,-39.06202841795796,6,
10.1,10.1_GS_I_dyn,5,2,0.16767981770886012,0.23495936920537366,-37.07189661352514,6,
10.1,10.1_NP_dyn,5,2,0.42319958900680094,0.46061654496580967,-6.801561651039574,6,
10.1,10.1_CF_dyn,5,2,0.3150106584723186,0.3360504683665785,-15.070706880724089,6,
10.1,10.1_EN_dyn,5,2,0.027149656807841815,0.037214799537932323,-2033.4511397905749,6,
10.1,10.1_DEBT_to_GS,5,2,0.012464146874171897,0.01676689350289002,-11.40569324717965,6,
10.1,10.1_LTL_to_GS,5,2,0.009241137561217888,0.010954495242165399,-4.650239267186853,6,
10.1,10.1_STL_to_GS,5,2,0.009605503737463855,0.01020611481525106,-4513.937385778497,6,
10.1,10.1_STC_to_GS_I,5,2,0.008217089444446686,0.008269520634982087,-35.22813155939597,6,
10.1,10.1_LTC_to_GS_I,5,2,0.007934120833499392,0.008610907416122679,-1.8461822292425727,6,
10.1,10.1_NWC_to_GS,5,2,0.0014880754181784903,0.0015332621438457572,0.6638797576738665,6,
10.1,10.1_C_to_GS,5,2,0.0032597157160426053,0.0033142955012890746,-1.796626168599384,6,
10.1,10.1_INV_to_GS_I,5,2,0.0034114983981877872,0.0035167270703086533,-20.436797605719534,6,
10.1,10.1_REC_to_GS_I,5,2,0.0049169337780398115,0.004977437648039182,-40.384745909869686,6,
10.1,10.1_REC_to_STL,5,2,0.008416090340824967,0.01170578447732711,-4.570344280203425,6,
10.1,10.1_INV_to_STL,5,2,0.0199145048323473,0.020071530243579938,-9.188123519433356,6,
10.1,10.1_NWC_to_STL,5,2,0.023683400901557294,0.02434569409369824,-0.4230704714824933,6,
10.1,10.1_CF_to_TC,5,2,0.0032373467003553556,0.004523196020451061,-1.0502586107763396,6,
10.1,10.1_OFE_to_GS,5,2,0.002324331147747002,0.00233841741497239,-82.25420029733904,6,
10.1,10.1_OFE_to_NP,5,2,0.07397027662449794,0.07423825208431309,-330.34917502764495,6,
10.1,10.1_PPO_to_GS_I,5,2,0.001461683597368983,0.0019758308443784487,-8.642037666534424,6,
22.2,22.2_CF,5,2,1841.2284960937495,1930.7448401009528,-5.560073313717997,6,
22.2,22.2_EN,5,2,39.9549560546875,40.05484521253328,-177.265625,6,
22.2,22.2_GS,5,2,29126.591093749994,29131.585887712077,-381.79141906757434,6,
22.2,22.2_GS_I,5,2,27577.2103125,27578.25906540663,-541.5015026282013,6,
22.2,22.2_LTC,5,2,1065.870400390625,1065.8828670006476,-419.4001537778821,6,
22.2,22.2_LTL,5,2,1663.6015917968753,1667.1582113707825,-787.5323837356522,6,
22.2,22.2_NP,5,2,511.54978515625,690.8990845537814,-0.09038323296808626,6,
22.2,22.2_PEN,5,2,26.7635498046875,37.06174245642331,-0.9559597969055176,6,
22.2,22.2_PNPM,5,2,27782.523906250004,27795.085926162934,-288.5558394604318,6,
22.2,22.2_STC,5,2,72.33281249999982,91.50512145778748,-1.827311949636822,6,
22.2,22.2_STL,5,2,4550.13515625,4551.359529084112,-344.8236024144365,6,
22.2,22.2_TC,5,2,27398.50546875,27398.781888136586,-1770.1166475890486,6,
22.2,22.2_EN_upadlosci,5,2,1.734572410583496,2.2931945943503007,-1.3372184211366402,6,
22.2,22.2_Średni CF na firmę,5,2,1.3400618900788759,1.4213922192376927,-3.9583617725171454,6,
22.2,22.2_Marża CF (CF Margin),5,2,0.005430194366472352,0.006635640634940787,-0.49325839938865723,6,
22.2,22.2_Udział działalności fin. w NP,5,2,0.037594500595946365,0.04097923757196421,-4.503140697523015,6,
22.2,22.2_Relacja CF do NP,5,2,0.1381401121943927,0.14881104051612018,-3.861676767753999,6,
22.2,22.2_GS_dyn,5,2,0.1161478112661948,0.12008417834826694,-25.276497242181872,6,
22.2,22.2_GS_I_dyn,5,2,0.12048417322359908,0.12606549338171955,-17.23983012482379,6,
