rok;pkd;liczba_upadlosci
2019;91.0;1
2019;93.1;3
2019;93.2;3
2019;94.9;7
2019;95.1;1
2019;95.2;1
2019;96.0;12
2020;01.1;8
2020;01.2;1
2020;01.4;5
2020;01.5;31
2020;01.6;8
2020;02.4;1
2020;03.2;1
2020;05.1;1
2020;08.1;1
2020;10.1;10
2020;10.2;2
2020;10.3;1
2020;10.5;1
2020;10.6;1
2020;10.7;6
2020;10.9;1
2020;11.0;2
2020;13.1;1
2020;13.2;1
2020;13.9;2
2020;14.1;13
2020;15.2;1
2020;16.1;4
2020;16.2;12
2020;17.2;6
2020;18.1;7
2020;19.2;1
2020;20.1;2
2020;20.3;1
2020;20.4;1
2020;20.5;1
2020;21.1;2
2020;21.2;1
2020;22.1;1
2020;22.2;6
2020;23.3;1
2020;23.4;1
2020;23.6;5
2020;23.7;2
2020;23.9;4
2020;24.2;1
2020;24.3;1
2020;24.5;1
2020;25.1;18
2020;25.2;3
2020;25.5;1
2020;25.6;9
2020;25.7;1
2020;25.9;2
2020;26.2;1
2020;27.1;2
2020;27.4;3
2020;27.9;1
2020;28.2;2
2020;28.9;5
2020;29.2;2
2020;29.3;1
2020;30.3;1
2020;30.9;1
2020;31.0;4
2020;32.1;1
2020;32.3;1
2020;32.4;1
2020;32.5;1
2020;33.1;8
2020;33.2;5
2020;35.1;6
2020;37.0;1
2020;38.1;2
2020;38.2;2
2020;38.3;3
2020;41.1;23
2020;41.2;30
2020;42.1;9
2020;42.2;3
2020;42.9;1
2020;43.1;3
2020;43.2;25
2020;43.3;10
2020;43.9;7
2020;45.1;11
2020;45.2;9
2020;45.3;9
2020;45.4;1
2020;46.1;17
2020;46.2;5
2020;46.3;10
2020;46.4;16
2020;46.5;5
2020;46.6;4
2020;46.7;27
2020;46.9;10
2020;47.1;31
2020;47.2;3
2020;47.3;1
2020;47.4;2
2020;47.5;8
2020;47.6;6
2020;47.7;25
2020;47.9;23
2020;49.3;11
2020;49.4;53
2020;52.1;2
2020;52.2;11
2020;53.2;2
2020;55.1;12
2020;55.2;5
2020;56.1;32
2020;56.2;6
2020;56.3;2
2020;58.1;4
2020;58.2;2
2020;59.1;2
2020;61.1;3
2020;62.0;24
2020;63.1;9
2020;63.9;2
2020;64.1;5
2020;64.2;1
2020;64.9;13
2020;66.1;4
2020;66.2;5
2020;68.1;9
2020;68.2;22
2020;68.3;2
2020;69.1;5
2020;69.2;6
2020;70.1;10
