Poziom,Symbol PKD 2007,Nazwa grupowania PKD 2007,Symbol PKD 2025,Nazwa grupowania PKD 2025
3,10.9,Produkcja gotowych paszy i karmy dla zwierząt,10.9,Produkcja gotowej paszy i karmy dla zwierząt
2,11,Produkcja napojów,11,Produkcja napojów
3,11.0,Produkcja napojów,11.0,Produkcja napojów
2,12,Produkcja wyrobów tytoniowych,12,Produkcja wyrobów tytoniowych
3,12.0,Produkcja wyrobów tytoniowych,12.0,Produkcja wyrobów tytoniowych
2,13,Produkcja wyrobów tekstylnych,13,Produkcja wyrobów tekstylnych
2,13,Produkcja wyrobów tekstylnych,23,Produkcja wyrobów z pozostałych mineralnych surowców niemetalicznych
3,13.1,Przygotowanie i przędzenie włókien tekstylnych,13.1,Przygotowanie i przędzenie włókien tekstylnych
3,13.2,Produkcja tkanin,13.2,Produkcja tkanin
3,13.2,Produkcja tkanin,13.9,Produkcja pozostałych wyrobów tekstylnych
3,13.2,Produkcja tkanin,23.9,"Produkcja wyrobów ściernych i wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana"
3,13.3,Wykończanie wyrobów włókienniczych,13.3,Wykończanie wyrobów tekstylnych
3,13.9,Produkcja pozostałych wyrobów tekstylnych,13.9,Produkcja pozostałych wyrobów tekstylnych
2,14,Produkcja odzieży,14,Produkcja odzieży
3,14.1,"Produkcja odzieży, z wyłączeniem wyrobów futrzarskich",14.1,Produkcja odzieży dzianej
3,14.1,"Produkcja odzieży, z wyłączeniem wyrobów futrzarskich",14.2,Produkcja pozostałej odzieży i dodatków do odzieży
3,14.2,Produkcja wyrobów futrzarskich,14.2,Produkcja pozostałej odzieży i dodatków do odzieży
3,14.3,Produkcja odzieży dzianej,14.1,Produkcja odzieży dzianej
2,15,Produkcja skór i wyrobów ze skór wyprawionych,15,"Produkcja skór i wyrobów ze skór wyprawionych, produkcja podobnych wyrobów z innych materiałów"
3,15.1,"Wyprawa skór, garbowanie; wyprawa i barwienie skór futerkowych; produkcja toreb bagażowych, toreb ręcznych i podobnych wyrobów kaletniczych; produkcja wyrobów rymarskich",15.1,"Garbowanie, barwienie, wyprawa skór, w tym futerkowych; produkcja toreb bagażowych, toreb ręcznych i podobnych wyrobów kaletniczych; produkcja wyrobów rymarskich"
3,15.2,Produkcja obuwia,15.2,Produkcja obuwia
