Poziom,Symbol PKD 2007,Nazwa grupowania PKD 2007,Symbol PKD 2025,Nazwa grupowania PKD 2025
3,32.5,"Produkcja urządzeń, instrumentów oraz wyrobów medycznych, włączając dentystyczne",26.6,"Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego"
3,32.5,"Produkcja urządzeń, instrumentów oraz wyrobów medycznych, włączając dentystyczne",32.5,"Produkcja urządzeń, instrumentów oraz wyrobów medycznych, włączając dentystyczne"
3,32.9,"Produkcja wyrobów, gdzie indziej niesklasyfikowana",32.5,"Produkcja urządzeń, instrumentów oraz wyrobów medycznych, włączając dentystyczne"
3,32.9,"Produkcja wyrobów, gdzie indziej niesklasyfikowana",32.9,"Produkcja wyrobów, gdzie indziej niesklasyfikowana"
2,33,"Naprawa, konserwacja i instalowanie maszyn i urządzeń",03,Rybactwo
2,33,"Naprawa, konserwacja i instalowanie maszyn i urządzeń",33,"Naprawa, konserwacja i instalowanie maszyn i urządzeń"
2,33,"Naprawa, konserwacja i instalowanie maszyn i urządzeń",91,"Działalność bibliotek, archiwów, muzeów oraz pozostała działalność związana z kulturą"
3,33.1,"Naprawa i konserwacja metalowych wyrobów gotowych, maszyn i urządzeń",03.3,Działalność usługowa wspomagająca rybołówstwo i akwakulturę
3,33.1,"Naprawa i konserwacja metalowych wyrobów gotowych, maszyn i urządzeń",33.1,"Naprawa i konserwacja metalowych wyrobów gotowych, maszyn i urządzeń"
3,33.1,"Naprawa i konserwacja metalowych wyrobów gotowych, maszyn i urządzeń",91.3,Działalność w zakresie konserwacji i renowacji oraz pozostała działalność wspomagająca na rzecz dziedzictwa kulturowego
3,33.2,"Instalowanie maszyn przemysłowych, sprzętu i wyposażenia",33.2,"Instalowanie maszyn przemysłowych, sprzętu i wyposażenia"
1,D,"WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ, GORĄCĄ WODĘ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH",D,"WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH
"
2,35,"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych",35,"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną i powietrze do układów klimatyzacyjnych"
