year,przewieziona masa towarów mln ton,Interest rates (yr close),Function of costs of budowa,Pozwolenia wydane na budowe,It zarobki,Polietylen,Sprzedaż hurtowa - dynamika,Aluminium,Średnia cena za metr w WWA,Średnia roczna cena sprzedaży energii elektrycznej na rynku konkurencyjnym [zł/MWh],GAZ ZIEMNY_close,Węgiel_USD,CPI,usd/pln,eur/pln,wynagrodzenia brutto; ogółem,Bezrobotni zarejestrowani pozostający bez pracy dłużej niż 1 rok,Kwoty świadczeń rodzinnych wypłaconych w roku - ogółem,Samochody osobowe ogółem,Benzyna 95 1l,HICP - Motor cars,pszenica 1 dt,ziemniaki 1 dt,buraki cukrowe 1 dt,liście tytoniu 1dt,chmiel surowy 1dt,żywiec bydło,mleko krowie 1l,energia elektryczna dla gospodarstw domowych,ciepła woda - za 1m3,odkurzacz typu domowego
2025,190.18109273910522,-1.4210024327039719,3971.1806020736694,-2244.627658843994,13671.429999999998,-1676.427719116211,162.57631635665894,-98.13444519042969,16689.583587646484,382.7327618598938,9.79724434018135,260.2242307662964,1.3015853762626648,3.3588937846943736,5.670809376984835,588526711.75,1961520.0859375,2772017.28125,27313976.09375,7.63424709578976,26.00106717646122,165.2344148568809,36.49938631057739,29.24121668934822,1591.899994134903,-2323.478225708008,10.971799619495869,2.5630397144705057,1.3102797605097294,36.280924409627914,423.1482603549957
2026,165.833114027977,-2.9291609674692154,4389.978404045105,-3553.0041427612305,13671.429999999998,-5427.607238769531,183.6828430891037,-1155.580223083496,19187.80832672119,396.20753931999207,12.769342139363289,325.8935658931732,-2.1157805621623993,3.137511373963207,6.140530912205577,615475209.25,2708663.46484375,-1695147.375,27140850.875,8.482836841139942,21.810845732688904,190.1851141527295,29.507813036441803,37.13813975453377,1741.6483736038208,-4056.2153091430664,12.359561864286661,2.9780980050563812,1.5676340777426958,41.66381502151489,412.240905046463
2027,134.92966508865356,-4.907599225640297,4865.119910240173,-5134.34797668457,13671.429999999998,-9930.587493896484,209.48832082748413,-2508.039939880371,22078.74565887451,401.9533085823059,16.423386365175247,404.06329798698425,-6.938391238451004,2.8711239746771753,6.704401301220059,639713079.5,3640659.98046875,-7417558.84375,26690928.4140625,9.44274360127747,16.509796738624573,217.9190885052085,20.333151280879974,46.812288880348206,1910.3307399749756,-6173.737205505371,13.971904538571835,3.471850924193859,1.880221494473517,48.26277792453766,394.31058979034424
